,0
AI862062,13.701323843614677
BF445199,76.5868384908905
D83485,584.2747822965583
AI738452,17.810659895371625
AC005339,277.8430332027364
W73272,254.18271787624568
AI439556,220.21090388450233
BE243270,114.93027403419624
AW468885,197.95832450778133
BF966155,10.034800477301664
AA812232,209.56129033783506
NM_006472,543.6630941985335
BF510450,10.055705661298658
AK056658,37.89784374569723
NM_000246,88.37343708318478
AI568728,25.35039083915028
NM_025151,183.1399661715114
AW135388,11.801729624087518
NM_004775,16.45843507568738
AF067173,502.82448085485834
AL157375,33.457234528673354
AK021878.1,5.518677065401668
U79300,5.746410045171435
NM_004513,308.1365466015917
BC020897,3.3445257230376586
AA628440,1209.7636075486432
BF313832,34.05806134813609
AW207734,17.020522026009022
BC010948,76.71488357252967
AF067173.1,390.3513147935761
AL157414,5.055829699810741
AW298141,29.89093625612473
AK025161.1,24.789949597389327
BE673925,18.5599537625191
BE045982,50.67497046523308
AV699347,977.3870368123847
NM_000332,274.66985858864064
NM_001269,145.9444141277862
BC005147,339.2042346209169
AA740849,97.60271652870694
AI492873,48.220731496301454
BE561014,147.85170238103902
NM_025113,576.7715467650258
AW978375,131.04607913513783
AF289024,11.336227943811418
AI681013,94.91577702235939
U17105,37.65308101179648
AW469555,28.23242040692812
AV753065,20.113464623993508
AF024540,30.188965853923637
AF222341,6.566355657630696
AA522514,92.28547394326442
AW291664,7.314571380155647
AK096662,11.292597912088711
AL568826,108.70276554915276
NM_004660,572.9271344250792
AI954612,6.5114424226073995
AA479678,52.31481587187277
H75391,9.55490010812554
BE646076,22.013939929744396
BC046147,20.01210461474284
BE646461,63.43703393075574
AW665375,25.90882890857356
S66168,5.72263723351707
BC005081,31.62732940221604
AV713323,13.553163731028445
AI248208,99.66090189098591
AI701590,28.83296660579636
BC002521,27.72057173391763
AB018289,571.6705728767098
X64978,7.902351216303192
AW082726,19.284324496732953
AK024009,21.557144147073785
AI925574,25.319556257896963
BF240286,40.78897870340525
AW235355,129.036835951374
AV681765,197.16747913279835
AF004561,1628.3872994986928
AI142677,98.99794819562825
AA031330,10.133437789744184
AK000470,102.87995591827307
AI129310,645.6267510505531
AL050059,5.809240666624947
AA740831,116.55104130288085
BC043583,25.80551454454259
BC008777,237.86538731321497
NM_006657,12.206402477885787
AK094921,4.798844850411755
AK025348,21.40360526391926
AA167449,1898.6579142572705
AI379895,11.072323600711599
NM_001504,365.3324504465349
NM_022136,925.900581746103
NM_016270,396.7702106574836
AI698076,5.425017401332399
AK024072,200.05384428257395
NM_013359,12.551964638217788
U94506,19.76749573077475
BC042827,16.375772413342393
R45950,7.7949031837214715
AV700339,4.378895203328194
AK095188,10.941520930525181
AJ011601,26.380886025655922
AL521247,214.52182251111677
AF519621,347.355921990408
