,0
AI862062,20.103953488372095
BF445199,274.75360465116273
D83485,1682.760465116279
AI738452,55.115697674418605
AC005339,596.8546511627908
W73272,854.7606976744185
AI439556,394.41430232558145
BE243270,401.468488372093
AW468885,99.4589534883721
BF966155,26.067093023255804
AA812232,329.56581395348826
NM_006472,995.3791860465114
BF510450,28.551046511627906
AK056658,110.21627906976745
NM_000246,188.18918604651162
AI568728,69.27499999999999
NM_025151,390.24
AW135388,37.17813953488372
NM_004775,41.63662790697674
AF067173,1318.4082558139535
AL157375,95.4482558139535
AK021878.1,9.101511627906978
U79300,13.240813953488376
NM_004513,777.7038372093023
BC020897,8.309883720930232
AA628440,2268.942093023256
BF313832,102.28779069767442
AW207734,55.56209302325583
BC010948,131.48418604651167
AF067173.1,1020.1331395348836
AL157414,11.83
AW298141,64.21081395348838
AK025161.1,39.2803488372093
BE673925,55.519767441860466
BE045982,105.84662790697676
AV699347,1840.2373255813955
NM_000332,581.9505813953489
NM_001269,378.3798837209302
BC005147,569.2603488372092
AA740849,325.9052325581395
AI492873,130.44872093023255
BE561014,376.4146511627907
NM_025113,887.481976744186
AW978375,448.43406976744177
AF289024,17.088488372093025
AI681013,305.4375581395349
U17105,104.53860465116279
AW469555,74.72232558139535
AV753065,60.089651162790695
AF024540,86.4718604651163
AF222341,15.6896511627907
AA522514,130.40220930232556
AW291664,19.692674418604653
AK096662,26.653023255813956
AL568826,295.2705813953488
NM_004660,290.9789534883721
AI954612,14.333255813953484
AA479678,71.20767441860467
H75391,26.876395348837214
BE646076,63.61104651162791
BC046147,49.754069767441855
BE646461,67.2106976744186
AW665375,42.51093023255814
S66168,11.456976744186045
BC005081,44.67999999999999
AV713323,30.986860465116283
AI248208,310.8431395348837
AI701590,35.559186046511634
BC002521,81.34802325581396
AB018289,880.713023255814
X64978,12.0856976744186
AW082726,38.33453488372093
AK024009,64.42267441860464
AI925574,60.82186046511628
BF240286,94.71976744186047
AW235355,384.9104651162791
AV681765,101.72162790697676
AF004561,3322.671511627907
AI142677,288.1225581395349
AA031330,20.291162790697673
AK000470,140.04069767441862
AI129310,939.3000000000002
AL050059,14.781395348837208
AA740831,142.36406976744186
BC043583,64.0793023255814
BC008777,519.4679069767442
NM_006657,13.67732558139535
AK094921,7.382093023255813
AK025348,27.317093023255815
AA167449,3565.6516279069765
AI379895,10.514186046511629
NM_001504,435.18255813953493
NM_022136,1852.8467441860469
NM_016270,479.7689534883721
AI698076,9.147558139534885
AK024072,449.24313953488365
NM_013359,12.659999999999997
U94506,29.84662790697674
BC042827,26.921511627906977
R45950,15.775232558139535
AV700339,9.599767441860465
AK095188,18.511511627906973
AJ011601,46.187325581395356
AL521247,417.3577906976745
AF519621,647.3802325581395
