,0,1,2,3
AF004561,4869.118636363637,2274.3464705882348,2373.377407407407,3794.203
AF289567,105.58318181818184,68.36352941176472,65.31037037037038,75.45599999999999
BC004277,246.89636363636365,187.53705882352938,192.01037037037037,228.64499999999998
AF067173,1715.2518181818186,986.6417647058823,1050.2751851851854,1525.8615
AF067173.1,1365.3895454545457,748.5641176470588,799.5033333333333,1169.035
NM_001269,487.19954545454544,299.3641176470587,285.11962962962957,451.74300000000005
AB014548,1357.3354545454547,1183.0823529411766,1151.94,1186.7445000000002
AI733356,33.291818181818186,25.930000000000003,20.566296296296294,22.534
BE048506,532.8027272727272,364.41588235294114,371.35925925925926,445.919
AK025613,460.45000000000005,274.28588235294114,245.22407407407405,262.72749999999996
