,0,1,2,3
AF004561,348.1756812991689,1319.03441279615,1464.4409413647006,1375.1237849448316
AF289567,22.351478776859413,18.74236721227399,18.03633277201399,19.41105983711348
BC004277,37.55954430760631,15.451222211206113,26.616080141242584,34.92661513802906
AF067173,207.33484712671398,359.6478466375177,486.4838094170923,451.1775595181458
AF067173.1,137.89710150811305,269.2645225109409,349.2506519201742,355.3875443723373
NM_001269,121.2265638260283,79.7510876236972,105.82289826006053,139.43743823306565
AB014548,113.92763244219682,89.26563330073515,87.85649650297795,80.51699103139661
AI733356,5.616182492149268,6.032729359867868,6.6972709467685965,6.4907945584496805
BE048506,109.98218769757129,66.81637797275398,86.65903085703724,77.35465731938834
AK025613,128.50000749911544,126.05731073177523,83.77261579702518,105.8424984528899
