,0
AI862062,4.088817798627354
BF445199,8.043748654123194
D83485,10.629181015496004
AI738452,5.704318981793891
AC005339,9.069614772536722
W73272,9.653249047295587
AI439556,8.39209863165657
BE243270,8.586684870653162
AW468885,3.72395346999875
BF966155,4.58847683394781
AA812232,8.06095413073568
NM_006472,9.727211048225868
BF510450,4.734713556265099
AK056658,6.701744661023246
NM_000246,7.408759774695175
AI568728,6.013721905502712
NM_025151,8.436359515589027
AW135388,5.136822008133096
NM_004775,5.272239880782746
AF067173,10.241935399628005
AL157375,6.464955122957904
AK021878.1,2.8522773483858477
U79300,3.6047038253770576
NM_004513,9.4796034844678
BC020897,2.915677369288481
AA628440,9.88807940172933
BF313832,6.602812452243738
AW207734,5.725619537089067
BC010948,6.796841396281163
AF067173.1,9.869414798375665
AL157414,3.3917224899787604
AW298141,5.858070277042708
AK025161.1,4.9982936599105425
BE673925,5.712050584096268
BE045982,6.54756264001306
AV699347,9.517167937782824
NM_000332,8.979299062298075
NM_001269,8.447865549471889
BC005147,8.908490199875045
AA740849,8.277942686449745
AI492873,6.924552199117362
BE561014,8.455626328361225
NM_025113,9.352073127959407
AW978375,8.74391614345817
AF289024,3.8224252098675184
AI681013,8.18399736170114
U17105,6.615751517841621
AW469555,6.1031766278241175
AV753065,5.827732291882163
AF024540,6.3417903552430985
AF222341,3.833394353246835
AA522514,6.605718105727135
AW291664,4.168253863324114
AK096662,4.59262037849314
AL568826,8.083852064685203
NM_004660,4.5451742235978605
AI954612,3.648671952350451
AA479678,5.512908210960783
H75391,4.656807665840177
BE646076,5.905613555440633
BC046147,5.512110621055501
BE646461,5.43112268541991
AW665375,5.162406716204
S66168,3.2880060783903176
BC005081,5.184366611137949
AV713323,4.79981479425051
AI248208,8.204066519482986
AI701590,4.605815297134035
BC002521,6.259294849576709
AB018289,9.336235787621202
X64978,3.3175795657691247
AW082726,5.060944996944102
AK024009,5.932747605101511
AI925574,5.739877014701386
BF240286,6.404140325827594
AW235355,8.502849932820938
AV681765,3.5582738157686986
AF004561,11.470772672413863
AI142677,8.084150150504401
AA031330,4.106452616961755
AK000470,6.383245409108384
AI129310,9.332125444096034
AL050059,3.737682047236905
AA740831,6.4751711671475745
BC043583,5.883480503328391
BC008777,8.855786826192878
NM_006657,3.267703272947634
AK094921,2.573444742799986
AK025348,4.426219599849491
AA167449,10.341270760482123
AI379895,2.8453753879554253
NM_001504,8.218270077142035
NM_022136,10.648969796814159
NM_016270,8.419197746232967
AI698076,2.853401511457044
AK024072,8.659723885117705
NM_013359,3.082695185094792
U94506,4.591212396413413
BC042827,4.486073463903956
R45950,3.732240731887764
AV700339,3.077942726299077
AK095188,3.9235954909132027
AJ011601,5.299443942173377
AL521247,8.505102638069506
AF519621,9.119793286775636
